study	n	trial	dose	time	co2_ratio
Meineke1993	10	1	100	4	1.21E-05
Meineke1993	10	1	100	10	6.17E-04
Meineke1993	10	1	100	16	1.19E-03
Meineke1993	10	1	100	19	1.89E-03
Meineke1993	10	1	100	26	2.18E-03
Meineke1993	10	1	100	29	2.08E-03
Meineke1993	10	1	100	40	1.26E-03
Meineke1993	10	1	100	51	9.69E-04
Meineke1993	10	1	100	61	8.56E-04
Meineke1993	10	1	100	75	6.99E-04
Meineke1993	10	1	100	90	5.71E-04
Meineke1993	10	1	100	104	5.04E-04
Meineke1993	10	1	100	119	4.12E-04
Meineke1993	10	1	100	148	2.93E-04
Meineke1993	10	1	100	180	2.35E-04
Meineke1993	10	1	100	208	1.75E-04
Meineke1993	10	1	100	239	1.39E-04

