time	n	dob	dob_sd
0.0	44	0.09905134276343955	3.4283460228246274
0.5	44	57.26475064346273	27.54495424298608
1.0	44	124.1258695245816	37.10184266079141
1.5	44	71.76427861549071	18.293317941070622
2.0	44	50.313334559546654	9.53822248676342
2.5	44	42.44350239171449	7.081106733855776
3.0	44	37.71786952458162	6.142944518967391
3.5	44	33.70841497912708	5.414153920408592
4.0	44	30.71165274136484	4.786661925933247
4.5	44	28.312778615490718	4.539777716413875
5.0	44	26.472960433672537	4.089523596220841
5.5	44	24.714233160945255	3.9601533043215245
6.0	44	23.255687706399804	3.78950810140285
6.5	44	22.19414225185435	3.2500034566630327
7.0	44	21.534778615490715	2.8928368956028816
7.5	44	20.33540448961659	3.196497671827649
8.0	44	19.470177216889315	2.981565145023486
8.5	44	18.740995398707494	3.0728077271974215
9.0	44	18.245505888217988	2.951242397239371
9.5	44	17.752324070036167	2.922969940659336
10.0	44	16.95005134276344	2.717644476029791
10.5	44	16.721324070036168	2.248668778584986
11.0	44	16.053596797308895	2.2450901506895833
11.5	44	15.828324070036167	2.5154552865165773
12.0	44	15.684897496609596	2.521658591041183
12.5	44	15.03123316094526	2.449912462070695
13.0	44	14.474687706399804	2.3815354114409746
13.5	44	14.293687706399805	2.290966166925898
14.0	44	14.099869524581623	2.4326633616200297
14.5	44	13.861869524581618	2.352582220539262
15.0	44	13.670649244861345	2.5661829764003197
15.5	44	13.302582811294911	2.385240037139339
16.0	44	13.238505888217984	2.3979587518768555
16.5	44	12.65396043367253	2.4984248329884506
17.0	44	12.376869524581624	2.5303297493447565
17.5	44	12.376414979127077	2.6780332549121892
18.0	44	12.112687706399806	2.602709785146095
18.5	44	11.67686952458162	2.7436964795747425
19.0	44	11.377778615490712	3.0447287155286658
19.5	44	11.183324070036166	2.9229682542760678
20.0	44	11.20305134276344	3.013814942286524
20.5	44	11.184869524581622	2.704064474308112
21.0	44	10.801163230875328	2.8368957036398754
21.5	44	10.704718009430108	2.5942579477618692
22.0	44	10.657093300805396	2.6205772959163185
22.5	44	11.030142251854347	3.0140096429990533
23.0	44	10.59620169241379	2.898101364872501
23.5	44	10.369812706399804	2.755774055517547
24.0	44	10.060247146959243	2.4054934570192077
